i,j,theta_lo,phi_lo,theta_hi,phi_hi,hs
3,9,0.1884955592153876,1.1309733552923256,0.25132741228718347,1.2566370614359172,2337.4858404290526
3,10,0.1884955592153876,1.2566370614359172,0.25132741228718347,1.3823007675795091,2326.5689790487963
3,11,0.1884955592153876,1.3823007675795091,0.25132741228718347,1.5079644737231008,2602.568139369745
3,12,0.1884955592153876,1.5079644737231008,0.25132741228718347,1.6336281798666925,2600.0711976710704
3,13,0.1884955592153876,1.6336281798666925,0.25132741228718347,1.7592918860102844,2359.2614947779552
3,14,0.1884955592153876,1.7592918860102844,0.25132741228718347,1.884955592153876,3480.2721806596815
3,15,0.1884955592153876,1.884955592153876,0.25132741228718347,2.0106192982974678,4611.096428101311
3,16,0.1884955592153876,2.0106192982974678,0.25132741228718347,2.1362830044410597,2035.3558948894167
3,17,0.1884955592153876,2.1362830044410597,0.25132741228718347,2.261946710584651,1446.3679960601914
3,18,0.1884955592153876,2.261946710584651,0.25132741228718347,2.387610416728243,2635.492928745287
3,19,0.1884955592153876,2.387610416728243,0.25132741228718347,2.5132741228718345,3460.6450575398735
3,20,0.1884955592153876,2.5132741228718345,0.25132741228718347,2.6389378290154264,2638.9770334411123
3,21,0.1884955592153876,2.6389378290154264,0.25132741228718347,2.7646015351590183,1787.7521878394473
3,22,0.1884955592153876,2.7646015351590183,0.25132741228718347,2.8902652413026098,2649.313210705403
3,23,0.1884955592153876,2.8902652413026098,0.25132741228718347,3.0159289474462017,1760.750376446803
3,24,0.1884955592153876,3.0159289474462017,0.25132741228718347,3.1415926535897936,902.5573214534879
3,25,0.1884955592153876,3.1415926535897936,0.25132741228718347,3.267256359733385,1745.3041789619845
3,26,0.1884955592153876,3.267256359733385,0.25132741228718347,3.392920065876977,2018.8063975842474
3,27,0.1884955592153876,3.392920065876977,0.25132741228718347,3.518583772020569,1727.8255870712555
3,28,0.1884955592153876,3.518583772020569,0.25132741228718347,3.6442474781641603,1431.6186195145317
3,29,0.1884955592153876,3.6442474781641603,0.25132741228718347,3.769911184307752,1981.584545750516
3,30,0.1884955592153876,3.769911184307752,0.25132741228718347,3.8955748904513436,2859.404723863656
3,31,0.1884955592153876,3.8955748904513436,0.25132741228718347,4.0212385965949355,1700.1269547394468
3,32,0.1884955592153876,4.0212385965949355,0.25132741228718347,4.1469023027385274,2271.92660373594
3,33,0.1884955592153876,4.1469023027385274,0.25132741228718347,4.272566008882119,1156.6646906023307
3,34,0.1884955592153876,4.272566008882119,0.25132741228718347,4.39822971502571,2558.145804497989
3,35,0.1884955592153876,4.39822971502571,0.25132741228718347,4.523893421169302,2276.3978714289156
3,36,0.1884955592153876,4.523893421169302,0.25132741228718347,4.649557127312894,3121.6997390476777
3,37,0.1884955592153876,4.649557127312894,0.25132741228718347,4.775220833456486,2272.1008089707316
3,38,0.1884955592153876,4.775220833456486,0.25132741228718347,4.900884539600078,2292.1924793833223
3,39,0.1884955592153876,4.900884539600078,0.25132741228718347,5.026548245743669,1986.2880870898946
3,40,0.1884955592153876,5.026548245743669,0.25132741228718347,5.152211951887261,2292.9473687340846
3,41,0.1884955592153876,5.152211951887261,0.25132741228718347,5.277875658030853,4307.688977506537
3,42,0.1884955592153876,5.277875658030853,0.25132741228718347,5.403539364174445,1442.593549306376
3,43,0.1884955592153876,5.403539364174445,0.25132741228718347,5.529203070318037,2578.7020222033384
